Number;InsertionTime;SearchTime;RemovingTime;IndexingTime;IndexSearchingTime;InsertionUsedMemory;SearchUsedMemory;RemovingUsedMemory;IndexingUsedMemory;IndexSearchingUsedMemory;InsertionDiskOperationsCount;SearchDiskOperationsCount;RemovingDiskOperationsCount;IndexingDiskOperationsCount;IndexSearchingDiskOperationsCount;MaxSearchDepth;IndexMaxSearchDepth
471;500;722;542;3;3;102983;66899;20642;7574496;7627832;2,17;0,998;2,23;20;0;2;1
472;626;878;594;0;8;89030;38002;77877;7722945;7816383;2,11;0,999;1,92;20;0;2;1
473;786;1086;880;8;2;54843;24223;536;7903288;8042014;2,08;0,999;2,27;20;0;2;1
474;939;1280;998;2;8;58022;16654;84475;8073163;8257177;2,06;0,999;2,1;20;0;2;1
475;654;985;413;2;3;41875;80947;13854;7831449;7838320;4,21;2;2,64;20;0;3;1
476;576;908;393;10;8;109328;57200;74809;7891479;7904387;3,65;2;2,48;20;0;3;1
477;515;777;331;2;2;47846;1583;28528;8016444;8075110;2,27;1;1,49;20;0;2;1
478;647;978;415;0;1;21246;62063;85357;8158499;8273277;2,18;1;1,49;20;0;2;1
479;788;1166;524;0;1;168501;42139;67125;8311098;8481820;2,13;1;1,58;20;0;2;1
480;937;1441;615;0;8;154592;21743;47095;8462389;8689055;2,09;1;1,53;20;0;2;1
481;969;1624;1039;10;8;47869;9045;22171;8268518;8275650;3,07;2;3,08;20;0;3;1
482;956;1642;1140;11;5;32334;29900;996;8333245;8344777;3,04;2;2,92;20;0;3;1
483;1165;1682;765;0;2;81966;35427;19681;8480798;8551524;2,01;0,999;1,35;20;0;2;1
484;1696;2474;1088;2;2;77713;30783;27954;8660857;8799583;2;0,999;1,4;20;0;2;1
485;2178;2871;1474;10;0;77973;7559;28807;8876460;9083186;2;0,999;1,59;20;0;2;1
486;2691;3427;2067;10;0;27881;7735;2851;9108219;9382945;2;1;1,74;20;0;2;1
487;1054;1789;837;0;8;66963;33231;1912;8720921;8731012;3,07;2;2,32;20;0;3;1
488;970;1674;820;0;8;58141;15371;24894;8786411;8804411;3,04;2;2,37;20;0;3;1
489;1176;1701;628;0;8;26136;23113;34543;8924836;9011642;2,01;1;1,17;20;0;2;1
490;1767;2628;809;0;0;22367;17751;26598;9088423;9259229;2;1;1,17;20;0;2;1
491;2186;2841;1019;10;8;22155;37142;12063;9287266;9542072;2;1;1,33;20;0;2;1
492;2682;3417;1391;10;4;57202;36845;13405;9502777;9841583;2;1;1,33;20;0;2;1
493;1210;1854;911;0;0;6168;13690;13566;9204798;9210434;3,82;1,99;2,72;20;0;3;1
494;1118;1776;835;2;8;21060;37539;25804;9302937;9311565;3,46;2;2,42;20;0;3;1
495;1013;1542;765;2;8;80310;745;8875;9457822;9505836;2,15;0,998;1,51;20;0;2;1
496;1231;1824;941;8;2;77118;35041;6827;9616903;9721007;2,09;0,999;1,46;20;0;2;1
497;1473;2229;1107;2;9;69543;28143;10402;9802956;9941682;2,06;0,999;1,42;20;0;2;1
498;1760;2677;1432;8;2;67761;30869;17695;9982055;10166069;2,04;0,999;1,42;20;0;2;1
499;1332;1985;758;10;8;60987;29502;20051;9770417;9777288;4,23;2;2,43;20;0;3;1
500;1181;1867;787;0;0;72639;40909;22051;9857383;9870291;3,7;2;2,4;20;0;3;1
501;1034;1638;656;0;1;37914;963;1059;10007820;10066486;2,22;1;1,34;20;0;2;1
502;1261;2065;789;0;0;36672;42845;6251;10184443;10299221;2,13;1;1,33;20;0;2;1
503;1503;2663;1028;10;8;46642;12947;7509;10356998;10527720;2,09;1;1,32;20;0;2;1
504;1733;3237;1249;0;0;52806;31776;28141;10549025;10775691;2,07;1;1,34;20;0;2;1
